Link;Titulo;Data da Postagem
https://www.palmeiras.com.br/noticias/palmeiras-treina-no-san-lorenzo-e-encerra-preparacao-para-semi-contra-o-boca/;Palmeiras treina no San Lorenzo e encerra preparação para semi contra o Boca;27/09/2023 18:43
https://www.palmeiras.com.br/noticias/palmeiras-empata-com-corinthians-e-segue-isolado-na-lideranca-do-paulista-sub-20/;Palmeiras empata com Corinthians e segue isolado na liderança do Paulista Sub-20;27/09/2023 18:24
https://www.palmeiras.com.br/noticias/apos-vitoria-na-fazendinha-palmeiras-recebe-corinthians-pela-3a-fase-do-paulista-sub-20/;Após vitória na Fazendinha, Palmeiras recebe Corinthians pela 3ª fase do Paulista Sub-20;26/09/2023 17:48
https://www.palmeiras.com.br/noticias/com-dois-de-estevao-verdao-vence-fluminense-e-avanca-a-semifinal-do-brasileiro-sub-17/;Com dois de Estêvão, Verdão vence Fluminense e avança à semifinal do Brasileiro Sub-17;26/09/2023 17:06
https://www.palmeiras.com.br/noticias/marcos-rocha-destaca-preparacao-para-semifinal-na-bombonera-apos-treino-tatico-do-verdao/;Marcos Rocha destaca preparação para semifinal na Bombonera após treino tático do Verdão;26/09/2023 12:28
https://www.palmeiras.com.br/noticias/projeto-comunidade-na-academia-verdao-recebe-projeto-aladim-no-ct-da-base/;Projeto Comunidade na Academia: Verdão recebe Projeto Aladim no CT da Base;25/09/2023 19:41
https://www.palmeiras.com.br/noticias/verdao-recebe-fluminense-no-jogo-de-volta-das-quartas-do-brasileiro-sub-17/;Verdão recebe Fluminense no jogo de volta das quartas do Brasileiro Sub-17;25/09/2023 14:43
https://www.palmeiras.com.br/noticias/verdao-intensifica-ajustes-taticos-e-menino-ve-elenco-com-foco-100-para-semi/;Verdão intensifica ajustes táticos e Menino vê elenco com ‘foco 100%’ para semi;25/09/2023 13:23
https://www.palmeiras.com.br/noticias/venda-de-ingressos-para-jogo-contra-boca-juniors-no-allianz-parque-pela-libertadores/;Venda de ingressos para jogo contra Boca Juniors no Allianz Parque pela Libertadores;25/09/2023 10:41
https://www.palmeiras.com.br/noticias/sub-11-e-sub-13-goleiam-ec-sao-bernardo-e-sao-caetano-e-avancam-as-oitavas-do-paulista/;Sub-11 e Sub-13 goleiam EC São Bernardo e São Caetano e avançam às oitavas do Paulista;25/09/2023 09:04
https://www.palmeiras.com.br/noticias/sub-12-e-sub-14-do-palestra-derrotam-joseense-pelo-campeonato-paulista/;Sub-12 e Sub-14 do Palestra derrotam Joseense pelo Campeonato Paulista;25/09/2023 08:46
https://www.palmeiras.com.br/noticias/palmeiras-realiza-treino-tatico-na-academia-em-preparacao-a-partida-de-ida-contra-o-boca-juniors/;Palmeiras realiza treino tático na Academia em preparação à partida de ida contra o Boca Juniors;24/09/2023 13:55
https://www.palmeiras.com.br/noticias/sub-15-e-sub-17-vencem-ec-sao-bernardo-e-guarani-e-avancam-as-quartas-do-paulista-na-lideranca/;Sub-15 e Sub-17 vencem EC São Bernardo e Guarani e avançam às quartas do Paulista na liderança;23/09/2023 13:10
https://www.palmeiras.com.br/noticias/palmeiras-adere-a-nova-ferramenta-do-whatsapp-e-cria-canal-para-torcedores/;Palmeiras adere à nova ferramenta do WhatsApp e cria canal para torcedores;23/09/2023 12:26
https://www.palmeiras.com.br/noticias/no-encerramento-da-3a-fase-do-paulista-sub-15-e-sub-17-recebem-ec-sao-bernardo-e-guarani/;No encerramento da 3ª fase do Paulista, Sub-15 e Sub-17 recebem EC São Bernardo e Guarani;22/09/2023 18:39
https://www.palmeiras.com.br/noticias/com-golacos-de-kauan-santos-palmeiras-vence-corinthians-na-fazendinha-pelo-paulista-sub-20/;Com golaços de Kauan Santos, Palmeiras vence Corinthians na Fazendinha pelo Paulista Sub-20;22/09/2023 18:02